DATE,DRBLACBS
1987-01-01,6.75
1987-04-01,6.75
1987-07-01,6.40
1987-10-01,6.23
1988-01-01,5.85
1988-04-01,5.46
1988-07-01,5.40
1988-10-01,5.00
1989-01-01,5.25
1989-04-01,5.18
1989-07-01,5.20
1989-10-01,5.15
1990-01-01,5.17
1990-04-01,5.35
1990-07-01,5.46
1990-10-01,6.27
1991-01-01,6.29
1991-04-01,6.41
1991-07-01,6.22
1991-10-01,6.03
1992-01-01,5.76
1992-04-01,5.49
1992-07-01,5.25
1992-10-01,4.76
1993-01-01,4.41
1993-04-01,4.01
1993-07-01,3.61
1993-10-01,3.05
1994-01-01,2.79
1994-04-01,2.40
1994-07-01,2.22
1994-10-01,2.18
1995-01-01,2.12
1995-04-01,2.10
1995-07-01,2.07
1995-10-01,2.07
1996-01-01,2.06
1996-04-01,2.06
1996-07-01,2.01
1996-10-01,1.95
1997-01-01,1.90
1997-04-01,1.81
1997-07-01,1.72
1997-10-01,1.70
1998-01-01,1.81
1998-04-01,1.73
1998-07-01,1.77
1998-10-01,1.87
1999-01-01,1.97
1999-04-01,2.00
1999-07-01,2.06
1999-10-01,1.99
2000-01-01,2.11
2000-04-01,2.24
2000-07-01,2.33
2000-10-01,2.52
2001-01-01,2.65
2001-04-01,2.94
2001-07-01,3.26
2001-10-01,3.48
2002-01-01,3.69
2002-04-01,3.92
2002-07-01,3.88
2002-10-01,3.88
2003-01-01,3.65
2003-04-01,3.56
2003-07-01,3.27
2003-10-01,2.85
2004-01-01,2.57
2004-04-01,2.30
2004-07-01,2.03
2004-10-01,1.82
2005-01-01,1.62
2005-04-01,1.50
2005-07-01,1.47
2005-10-01,1.44
2006-01-01,1.39
2006-04-01,1.30
2006-07-01,1.26
2006-10-01,1.15
2007-01-01,1.19
2007-04-01,1.19
2007-07-01,1.21
2007-10-01,1.30
2008-01-01,1.44
2008-04-01,1.77
2008-07-01,1.77
2008-10-01,2.54
2009-01-01,3.17
2009-04-01,3.79
2009-07-01,4.39
2009-10-01,4.27
2010-01-01,3.92
2010-04-01,3.64
2010-07-01,3.32
2010-10-01,2.97
2011-01-01,2.43
2011-04-01,2.12
2011-07-01,1.84
2011-10-01,1.65
2012-01-01,1.52
2012-04-01,1.40
2012-07-01,1.26
2012-10-01,1.19
2013-01-01,1.09
2013-04-01,1.04
2013-07-01,0.99
2013-10-01,0.90
2014-01-01,0.89
2014-04-01,0.80
2014-07-01,0.77
2014-10-01,0.73
2015-01-01,0.73
2015-04-01,0.81
2015-07-01,0.91
2015-10-01,1.04
2016-01-01,1.47
2016-04-01,1.59
2016-07-01,1.61
2016-10-01,1.61
2017-01-01,1.50
2017-04-01,1.34
2017-07-01,1.29
2017-10-01,1.20
2018-01-01,1.09
2018-04-01,1.07
2018-07-01,1.00
2018-10-01,0.96
2019-01-01,1.13
2019-04-01,1.06
2019-07-01,1.13
2019-10-01,1.14
